Hotel_Name,Negative_Review,Positive_Review,Tags,positive_tokenized,negative_tokenized,positive_filtered,negative_filtered,positive_noun,negative_noun
Hotel Arena,no negative, no real complaints the hotel was great great location surroundings rooms amenities and service two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one bit confusing secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great aside from those minor minor things fantastic spot and will be back when i return to amsterdam ,"[' leisure trip ', ' couple ', ' duplex double room ', ' stayed 4 nights ']","['no', 'real', 'complaints', 'the', 'hotel', 'was', 'great', 'great', 'location', 'surroundings', 'rooms', 'amenities', 'and', 'service', 'two', 'recommendations', 'however', 'firstly', 'the', 'staff', 'upon', 'check', 'in', 'are', 'very', 'confusing', 'regarding', 'deposit', 'payments', 'and', 'the', 'staff', 'offer', 'you', 'upon', 'checkout', 'to', 'refund', 'your', 'original', 'payment', 'and', 'you', 'can', 'make', 'a', 'new', 'one', 'bit', 'confusing', 'secondly', 'the', 'on', 'site', 'restaurant', 'is', 'a', 'bit', 'lacking', 'very', 'well', 'thought', 'out', 'and', 'excellent', 'quality', 'food', 'for', 'anyone', 'of', 'a', 'vegetarian', 'or', 'vegan', 'background', 'but', 'even', 'a', 'wrap', 'or', 'toasted', 'sandwich', 'option', 'would', 'be', 'great', 'aside', 'from', 'those', 'minor', 'minor', 'things', 'fantastic', 'spot', 'and', 'will', 'be', 'back', 'when', 'i', 'return', 'to', 'amsterdam']","['no', 'negative']","['real', 'complaints', 'hotel', 'great', 'great', 'location', 'surroundings', 'rooms', 'amenities', 'service', 'two', 'recommendations', 'however', 'firstly', 'staff', 'upon', 'check', 'confusing', 'regarding', 'deposit', 'payments', 'staff', 'offer', 'upon', 'checkout', 'refund', 'original', 'payment', 'make', 'new', 'one', 'bit', 'confusing', 'secondly', 'site', 'restaurant', 'bit', 'lacking', 'well', 'thought', 'excellent', 'quality', 'food', 'anyone', 'vegetarian', 'vegan', 'background', 'even', 'wrap', 'toasted', 'sandwich', 'option', 'would', 'great', 'aside', 'minor', 'minor', 'things', 'fantastic', 'spot', 'back', 'return', 'amsterdam']",['negative'],"['quality', 'payments', 'option', 'location', 'check', 'complaints', 'payment', 'amenities', 'amsterdam', 'site', 'spot', 'deposit', 'things', 'vegan', 'surroundings', 'hotel', 'bit', 'food', 'checkout', 'recommendations', 'anyone', 'staff', 'refund', 'return', 'rooms']",[]
Hotel Arena, rooms are nice but for elderly a bit difficult as most rooms are two story with narrow steps so ask for single level inside the rooms are very very basic just tea coffee and boiler and no bar empty fridge , location was good and staff were ok it is cute hotel the breakfast range is nice will go back ,"[' leisure trip ', ' family with young children ', ' duplex double room ', ' stayed 3 nights ', ' submitted from a mobile device ']","['location', 'was', 'good', 'and', 'staff', 'were', 'ok', 'it', 'is', 'cute', 'hotel', 'the', 'breakfast', 'range', 'is', 'nice', 'will', 'go', 'back']","['rooms', 'are', 'nice', 'but', 'for', 'elderly', 'a', 'bit', 'difficult', 'as', 'most', 'rooms', 'are', 'two', 'story', 'with', 'narrow', 'steps', 'so', 'ask', 'for', 'single', 'level', 'inside', 'the', 'rooms', 'are', 'very', 'very', 'basic', 'just', 'tea', 'coffee', 'and', 'boiler', 'and', 'no', 'bar', 'empty', 'fridge']","['location', 'good', 'staff', 'ok', 'cute', 'hotel', 'breakfast', 'range', 'nice', 'go', 'back']","['rooms', 'nice', 'elderly', 'bit', 'difficult', 'rooms', 'two', 'story', 'narrow', 'steps', 'ask', 'single', 'level', 'inside', 'rooms', 'basic', 'tea', 'coffee', 'boiler', 'bar', 'empty', 'fridge']","['breakfast', 'staff', 'hotel', 'range', 'location']","['steps', 'level', 'coffee', 'fridge', 'story', 'boiler', 'bit', 'bar', 'rooms']"
Hotel Arena, you when i booked with your company on line you showed me pictures of a room i thought i was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly which was completely false advertising after being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present please make your website more clear through pricing and photos as again i didn t really know what i was paying for and how much it had wnded up being your photos told me i was getting something i wasn t not happy and won t be using you again , amazing location and building romantic setting ,"[' leisure trip ', ' couple ', ' suite ', ' stayed 2 nights ', ' submitted from a mobile device ']","['amazing', 'location', 'and', 'building', 'romantic', 'setting']","['you', 'when', 'i', 'booked', 'with', 'your', 'company', 'on', 'line', 'you', 'showed', 'me', 'pictures', 'of', 'a', 'room', 'i', 'thought', 'i', 'was', 'getting', 'and', 'paying', 'for', 'and', 'then', 'when', 'we', 'arrived', 'that', 's', 'room', 'was', 'booked', 'and', 'the', 'staff', 'told', 'me', 'we', 'could', 'only', 'book', 'the', 'villa', 'suite', 'theough', 'them', 'directly', 'which', 'was', 'completely', 'false', 'advertising', 'after', 'being', 'there', 'we', 'realised', 'that', 'you', 'have', 'grouped', 'lots', 'of', 'rooms', 'on', 'the', 'photos', 'together', 'leaving', 'me', 'the', 'consumer', 'confused', 'and', 'extreamly', 'disgruntled', 'especially', 'as', 'its', 'my', 'my', 'wife', 's', '40th', 'birthday', 'present', 'please', 'make', 'your', 'website', 'more', 'clear', 'through', 'pricing', 'and', 'photos', 'as', 'again', 'i', 'didn', 't', 'really', 'know', 'what', 'i', 'was', 'paying', 'for', 'and', 'how', 'much', 'it', 'had', 'wnded', 'up', 'being', 'your', 'photos', 'told', 'me', 'i', 'was', 'getting', 'something', 'i', 'wasn', 't', 'not', 'happy', 'and', 'won', 't', 'be', 'using', 'you', 'again']","['amazing', 'location', 'building', 'romantic', 'setting']","['booked', 'company', 'line', 'showed', 'pictures', 'room', 'thought', 'getting', 'paying', 'arrived', 'room', 'booked', 'staff', 'told', 'could', 'book', 'villa', 'suite', 'theough', 'directly', 'completely', 'false', 'advertising', 'realised', 'grouped', 'lots', 'rooms', 'photos', 'together', 'leaving', 'consumer', 'confused', 'extreamly', 'disgruntled', 'especially', 'wife', '40th', 'birthday', 'present', 'please', 'make', 'website', 'clear', 'pricing', 'photos', 'really', 'know', 'paying', 'much', 'wnded', 'photos', 'told', 'getting', 'something', 'happy', 'using']","['setting', 'location', 'building']","['please', 'company', 'pictures', 'told', 'pricing', 'photos', 'something', 'staff', 'book', 'consumer', 'birthday', 'room', 'advertising', 'wife', 'lots', 'line', 'theough', 'rooms']"
Hotel Arena, backyard of the hotel is total mess shouldn t happen in hotel with 4 stars , good restaurant with modern design great chill out place great park nearby the hotel and awesome main stairs ,"[' leisure trip ', ' group ', ' duplex double room ', ' stayed 1 night ']","['good', 'restaurant', 'with', 'modern', 'design', 'great', 'chill', 'out', 'place', 'great', 'park', 'nearby', 'the', 'hotel', 'and', 'awesome', 'main', 'stairs']","['backyard', 'of', 'the', 'hotel', 'is', 'total', 'mess', 'shouldn', 't', 'happen', 'in', 'hotel', 'with', '4', 'stars']","['good', 'restaurant', 'modern', 'design', 'great', 'chill', 'place', 'great', 'park', 'nearby', 'hotel', 'awesome', 'main', 'stairs']","['backyard', 'hotel', 'total', 'mess', 'happen', 'hotel', '4', 'stars']","['stairs', 'restaurant', 'design', 'park', 'hotel', 'place']","['stars', 'mess', 'hotel']"
Hotel Arena, cleaner did not change our sheet and duvet everyday but just made bed they also didn t clean the floor and changed the body gel when we run out of it , the room is spacious and bright the hotel is located in a quiet and beautiful park ,"[' leisure trip ', ' group ', ' duplex twin room ', ' stayed 5 nights ', ' submitted from a mobile device ']","['the', 'room', 'is', 'spacious', 'and', 'bright', 'the', 'hotel', 'is', 'located', 'in', 'a', 'quiet', 'and', 'beautiful', 'park']","['cleaner', 'did', 'not', 'change', 'our', 'sheet', 'and', 'duvet', 'everyday', 'but', 'just', 'made', 'bed', 'they', 'also', 'didn', 't', 'clean', 'the', 'floor', 'and', 'changed', 'the', 'body', 'gel', 'when', 'we', 'run', 'out', 'of', 'it']","['room', 'spacious', 'bright', 'hotel', 'located', 'quiet', 'beautiful', 'park']","['cleaner', 'change', 'sheet', 'duvet', 'everyday', 'made', 'bed', 'also', 'clean', 'floor', 'changed', 'body', 'gel', 'run']","['park', 'room', 'hotel', 'beautiful']","['change', 'duvet', 'sheet', 'body', 'gel', 'floor', 'bed', 'everyday']"
Hotel Arena, apart from the price for the brekfast everything very good, good location set in a lovely park friendly staff food high quality we oth enjoyed the breakfast ,"[' leisure trip ', ' couple ', ' duplex double room ', ' stayed 2 nights ', ' submitted from a mobile device ']","['good', 'location', 'set', 'in', 'a', 'lovely', 'park', 'friendly', 'staff', 'food', 'high', 'quality', 'we', 'oth', 'enjoyed', 'the', 'breakfast']","['apart', 'from', 'the', 'price', 'for', 'the', 'brekfast', 'everything', 'very', 'good']","['good', 'location', 'set', 'lovely', 'park', 'friendly', 'staff', 'food', 'high', 'quality', 'oth', 'enjoyed', 'breakfast']","['apart', 'price', 'brekfast', 'everything', 'good']","['quality', 'breakfast', 'staff', 'food', 'location']","['price', 'everything', 'brekfast']"
Hotel Arena, even though the pictures show very clean rooms the actual room was quit dirty and outlived also check in is at 15 o clock but our room was not ready at that time,no positive,"[' leisure trip ', ' couple ', ' duplex double room ', ' stayed 1 night ', ' submitted from a mobile device ']","['no', 'positive']","['even', 'though', 'the', 'pictures', 'show', 'very', 'clean', 'rooms', 'the', 'actual', 'room', 'was', 'quit', 'dirty', 'and', 'outlived', 'also', 'check', 'in', 'is', 'at', '15', 'o', 'clock', 'but', 'our', 'room', 'was', 'not', 'ready', 'at', 'that', 'time']",['positive'],"['even', 'though', 'pictures', 'show', 'clean', 'rooms', 'actual', 'room', 'quit', 'dirty', 'outlived', 'also', 'check', '15', 'clock', 'room', 'ready', 'time']",[],"['clock', 'pictures', 'quit', 'room', 'dirty', 'time', 'rooms']"
Hotel Arena, the aircondition makes so much noise and its hard to sleep at night , the room was big enough and the bed is good the breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening many people are having picnics and do some bicycling ,"[' leisure trip ', ' couple ', ' large king room ', ' stayed 7 nights ']","['the', 'room', 'was', 'big', 'enough', 'and', 'the', 'bed', 'is', 'good', 'the', 'breakfast', 'food', 'and', 'service', 'on', 'the', 'hotel', 'is', 'good', 'outside', 'the', 'hotel', 'there', 'is', 'a', 'big', 'park', 'which', 'is', 'very', 'good', 'for', 'walk', 'in', 'the', 'morning', 'and', 'evening', 'many', 'people', 'are', 'having', 'picnics', 'and', 'do', 'some', 'bicycling']","['the', 'aircondition', 'makes', 'so', 'much', 'noise', 'and', 'its', 'hard', 'to', 'sleep', 'at', 'night']","['room', 'big', 'enough', 'bed', 'good', 'breakfast', 'food', 'service', 'hotel', 'good', 'outside', 'hotel', 'big', 'park', 'good', 'walk', 'morning', 'evening', 'many', 'people', 'picnics', 'bicycling']","['aircondition', 'makes', 'much', 'noise', 'hard', 'sleep', 'night']","['picnics', 'people', 'breakfast', 'room', 'hotel', 'park', 'bed', 'service', 'walk', 'food', 'morning']","['sleep', 'aircondition', 'night']"
Hotel Arena, nothing all great , rooms were stunningly decorated and really spacious in the top of the building pictures are of room 300 the true beauty of the building has been kept but modernised brilliantly also the bath was lovely and big and inviting great more for couples restaurant menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of amsterdam would recommend this hotel to anyone it s unbelievably well priced too ,"[' leisure trip ', ' group ', ' duplex double room ', ' stayed 2 nights ', ' submitted from a mobile device ']","['rooms', 'were', 'stunningly', 'decorated', 'and', 'really', 'spacious', 'in', 'the', 'top', 'of', 'the', 'building', 'pictures', 'are', 'of', 'room', '300', 'the', 'true', 'beauty', 'of', 'the', 'building', 'has', 'been', 'kept', 'but', 'modernised', 'brilliantly', 'also', 'the', 'bath', 'was', 'lovely', 'and', 'big', 'and', 'inviting', 'great', 'more', 'for', 'couples', 'restaurant', 'menu', 'was', 'a', 'bit', 'pricey', 'but', 'there', 'were', 'loads', 'of', 'little', 'eatery', 'places', 'nearby', 'within', 'walking', 'distance', 'and', 'the', 'tram', 'stop', 'into', 'the', 'centre', 'was', 'about', 'a', '6', 'minute', 'walk', 'away', 'and', 'only', 'about', '3', 'or', '4', 'stops', 'from', 'the', 'centre', 'of', 'amsterdam', 'would', 'recommend', 'this', 'hotel', 'to', 'anyone', 'it', 's', 'unbelievably', 'well', 'priced', 'too']","['nothing', 'all', 'great']","['rooms', 'stunningly', 'decorated', 'really', 'spacious', 'top', 'building', 'pictures', 'room', '300', 'true', 'beauty', 'building', 'kept', 'modernised', 'brilliantly', 'also', 'bath', 'lovely', 'big', 'inviting', 'great', 'couples', 'restaurant', 'menu', 'bit', 'pricey', 'loads', 'little', 'eatery', 'places', 'nearby', 'within', 'walking', 'distance', 'tram', 'stop', 'centre', '6', 'minute', 'walk', 'away', '3', '4', 'stops', 'centre', 'amsterdam', 'would', 'recommend', 'hotel', 'anyone', 'unbelievably', 'well', 'priced']","['nothing', 'great']","['anyone', 'beauty', 'pictures', 'couples', 'distance', 'tram', 'centre', 'inviting', 'stop', 'places', 'minute', 'room', 'walk', 'hotel', 'bit', 'stops', 'building', 'rooms']",['nothing']
Hotel Arena, 6 30 am started big noise workers loading wood down the windows stupid room numbering system it took 20 minutes with a night guard finally to find our rooms the check in staff pointed us in the wrong direction no late dinner bar closes at 1 am ugly view on trash lorry from windows no information about the computerized telephone huge price difference between booking com price 166 euros and hotel price 260 , style location rooms,"[' business trip ', ' solo traveler ', ' duplex twin room ', ' stayed 1 night ', ' submitted from a mobile device ']","['style', 'location', 'rooms']","['6', '30', 'am', 'started', 'big', 'noise', 'workers', 'loading', 'wood', 'down', 'the', 'windows', 'stupid', 'room', 'numbering', 'system', 'it', 'took', '20', 'minutes', 'with', 'a', 'night', 'guard', 'finally', 'to', 'find', 'our', 'rooms', 'the', 'check', 'in', 'staff', 'pointed', 'us', 'in', 'the', 'wrong', 'direction', 'no', 'late', 'dinner', 'bar', 'closes', 'at', '1', 'am', 'ugly', 'view', 'on', 'trash', 'lorry', 'from', 'windows', 'no', 'information', 'about', 'the', 'computerized', 'telephone', 'huge', 'price', 'difference', 'between', 'booking', 'com', 'price', '166', 'euros', 'and', 'hotel', 'price', '260']","['style', 'location', 'rooms']","['6', '30', 'started', 'big', 'noise', 'workers', 'loading', 'wood', 'windows', 'stupid', 'room', 'numbering', 'system', 'took', '20', 'minutes', 'night', 'guard', 'finally', 'find', 'rooms', 'check', 'staff', 'pointed', 'us', 'wrong', 'direction', 'late', 'dinner', 'bar', 'closes', '1', 'ugly', 'view', 'trash', 'lorry', 'windows', 'information', 'computerized', 'telephone', 'huge', 'price', 'difference', 'booking', 'com', 'price', '166', 'euros', 'hotel', 'price', '260']","['location', 'style', 'rooms']","['difference', 'information', 'windows', 'price', 'wood', 'guard', 'dinner', 'direction', 'noise', 'lorry', 'room', 'hotel', 'workers', 'telephone', 'staff', 'system', 'minutes', 'night', 'numbering', 'bar', 'rooms']"
